playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
0AKmgvkqEc2CISLFARhjv9,Grown Folks R&B ,17,8ooisnq84p62mi37kozpnbnxq,Illy,57880
37i9dQZF1DXdaMkR2m2cl5,Folk Feast,50,spotify,Spotify,45328
4eOtGyE7j1W34uyghmXKLw,VIKING Music (Nordic folk),73,21ps3v4c5il27v4dihiklqspq,Artem Shr,44922
3uQywS57rCK3AJTsaNLR0T,Irish Folk Songs,184,bschwagger95,Blake Schweigert,34794
0PX3TxTKNvQ3f2nYqHfOfx,FOLKS EVERYTHING,50,19hc4z1cz47q1e67hubbhvm8x,Kind Song Book,34033
37i9dQZF1DWWHw0yK8z3Pm,Renegade Folk,90,spotify,Spotify,28118
37i9dQZF1DX2PfO7FL9zWG,Folk Favourites,100,spotify,Spotify,27371
1bkVHCaX4P8e4dyc1h197M,Folklore Argentino 2020,114,11141143289,Top Music,22943
5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,249,rj9wvs6jynpiwpzb5s99rwu6f,CaffeinatedFox,22100
6GxBZn0yu0miclv2bhImBd,Folklore Argentino 🇦🇷,69,rhx49rfeivj18x2b33v86nw96,Música Argentina,20309
7FBdcNXoSNKvb2ACLlNdCx,Taylor Swift - Folklore [FULL ALBUM],176,pnwfc84dwral2h5ra2f1pe41b,Spring Beep,20018
6jvQiScdEWO3oZNrcISu6X,Folk-Punk,492,tom-sherman,Tom Sherman,15947
2YEfmsYGkRfvVDxvCNoRCO,Indie Folk,135,xkw28qz4t0uw38rqu4lzsmcc7,Barely Sparrow,15089
37i9dQZF1DWSRhcVioua5c,Folklore Romántico ,60,spotify,Spotify,14600
7hJtx8QB7ONHF0LLw20Nxs,Russian folk music,82,11149653421,Agonga,13077
0xsQEqfdhaKWedD265YSkS,Bluegrass & Folk,33,122904536,Joe Daniel,12641
37i9dQZF1DXd4iOmOg4ha3,Folktronics,42,spotify,Spotify,12632
37i9dQZF1DWYLoJq8d80ds,Lunas de Folklore,70,spotify,Spotify,12505
54yp3skLKD8ChD50lxVv4N,Folk Rock,73,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,11859
