track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3pHkh7d0lzM2AldUtz2x37,The Archer,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,211240,2019-08-23,70,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344
4VginDwYTP2eaHJzO0QMjG,Circles,246dkjvS1zLTtiykXe5h60,Post Malone,75n7rjlC1fxezRtoMQmtL5,214906,2019-08-30,3,0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003
2YWtcWi3a83pdEg3Gif4Pd,I Think He Knows,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,173386,2019-08-23,69,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003
5f9808hpiCpuNyqqdXmpF2,Buwan,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,2CF1utwLM2yXHMZhwFGVY1,343446,2018-06-22,64,0.631,0.381,7,-11.808,1,0.04,0.447,0.000171,0.0902,0.36,126.008
1LLXZFeAHK9R4xUramtUKw,London Boy,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,190240,2019-08-23,69,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925
7rrVN7f83kwaz2sGxoFnJY,Christmas in Our Hearts,1EHAbA1GMYOfkh9ds9eNfS,Jose Mari Chan,3WPwRhJqWbl9lkv8DDq8jh,207000,1990,57,0.57,0.292,5,-14.408,1,0.0293,0.841,0.0,0.137,0.399,72.534
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),3Nrfpe0tUJi4K4DXYWgMUX,BTS,1AvXa8xFEXtR3hb4bgihIK,229773,2019-04-12,84,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991
2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,5JZ7CnR6gTvEMKX4g70Amv,Lauv,7lqieLm717j9Z8JrG7POkS,197436,2018-05-31,84,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97
214nt20w5wOxJnY462klLw,Miss Americana & The Heartbreak Prince,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,234146,2019-08-23,69,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088
6TbDpqKCksZNJjriFhPum8,Could I Love You Any More (feat. Jason Mraz),2Xr7M6vawpp6zwKOMU7iBU,Reneé Dominique,1LYpuMBu82KpTYr6fALY3G,189500,2019-05-31,63,0.288,0.371,11,-8.001,1,0.0386,0.666,0.0,0.129,0.197,52.572
2dgFqt3w9xIQRjhPtwNk3D,Death By A Thousand Cuts,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,198533,2019-08-23,69,0.712,0.732,4,-6.754,1,0.0629,0.454,0.0,0.319,0.313,94.071
0Eqg0CQ7bK3RQIMPw1A7pl,Malibu Nights,49tQo2QULno7gxHutgccqF,LANY,6SWmGozzQDUaczHXMuE8Za,286928,2018-10-05,77,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002
6GIzDc4xBUeYHwubWwTrhC,Kahit Di Mo Alam,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,1aUdCxhin4mQevKWVLrtNN,282094,2017-09-17,61,0.45,0.648,10,-4.516,1,0.0308,0.132,2.37e-05,0.11,0.282,144.814
4pUCKHjJ4Ijewc37rRrvHn,Kill This Love,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,4xVAKfdoqtrlwl9m7REmdL,189052,2019-04-04,56,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,5658aM19fA3JVwTK6eQX70,182160,2019-05-17,90,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
2BgEsaKNfHUdlh97KmvFyo,2002,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,7lPoGKpCGgdKFAxpudhAH5,186986,2018-04-27,82,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133
1SymEzIT3H8UZfibCs3TYi,Afterglow,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,223293,2019-08-23,69,0.756,0.449,9,-8.746,1,0.0344,0.13,0.0,0.114,0.399,111.011
0ztDBQdQmdVZvorSmIjMih,Tagpuan,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,05rQadwAVYTpNNnBoeTuj0,260240,2018-02-19,62,0.566,0.121,8,-8.206,1,0.0345,0.862,0.0,0.0788,0.293,135.268
2Gt5SmbyQjcjEqMOdEd3QE,Dahilan,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,3Y4DF0OVRgB6sXE0mBZjak,234722,2019-08-02,53,0.63,0.403,11,-10.35,1,0.0273,0.536,2.28e-05,0.178,0.509,80.016
2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,0iqkVK6sTXi7DZWWOeKy8Q,PDL,33qqYIFSFSVYO3wCkc1Ksh,341573,2018-07-28,63,0.657,0.746,1,-6.277,1,0.0464,0.0175,0.0,0.107,0.467,136.887
2Fxmhks0bxGSBdJ92vM42m,bad guy,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,0S0KGZnfBGSIssfF54WSJh,194087,2019-03-29,88,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
4u8RkgV6P4TLi89SmlUtv8,Mundo,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,2p6QlBCrnKwUFC0wPN1kfV,349713,2018-02-14,65,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031
3DVnV3LELIUSvrzbofWdMM,Andiyan,2U5mF0PZqGu6glnz55yY0y,John Roa,199k0nQ3FaKMKghEkQ2X4V,248000,2019-07-12,49,0.497,0.156,5,-15.291,0,0.0395,0.931,5.36e-06,0.123,0.534,97.821
4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. Daniel Caesar),3Y7RZ31TRPVadSFVy1o8os,H.E.R.,0pV0Mx07aMApIpF19oSQgY,209400,2017-10-20,78,0.473,0.371,4,-10.219,0,0.0405,0.795,0.0,0.109,0.413,75.208
1fzAuUVbzlhZ1lJAx9PtY6,Daylight,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,293453,2019-08-23,68,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983
0rIAC4PXANcKmitJfoqmVm,Motivation,2cWZOOzeOm4WmBJRnD5R7I,Normani,2r6BEK0wzXbL8JHyCkeJkG,193837,2019-08-16,76,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918
7Livy729zY16jBsppfYLRW,Nang Iwan,5HIZU0JzM0AgfItVOm4E08,This Band,52Pn30zsnFftA4VfNH1V8O,367889,2019-07-26,52,0.431,0.556,2,-7.077,1,0.0338,0.101,0.0,0.12,0.318,149.775
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,James Arthur,7oiJYvEJHsmYtrgviAVIBD,211466,2016-10-28,85,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
4AYtqFyFbX0Xkc2wtcygTr,Soon You’ll Get Better (feat. The Chicks),06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,201586,2019-08-23,67,0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476
5hQSXkFgbxjZo9uCwd11so,False God,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,200306,2019-08-23,67,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97
6NFKf8vBApSvtzkapYmnVR,Tadhana,3wbCeEPAW6po7J46netxMT,Up Dharma Down,4SjshYHT8OeSHB6zun2Hxx,222446,2012-12-07,66,0.686,0.322,6,-13.2,1,0.0369,0.165,0.0296,0.0809,0.511,155.982
2bT1PH7Cw3J9p3t7nlXCdh,If I Can't Have You,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,0xzScN8P3hQAz3BT3YYX5w,191466,2019-06-19,76,0.691,0.823,2,-4.197,1,0.0623,0.487,0.0,0.134,0.87,123.935
7HthZga17TghgUiJxa2oiR,Karera,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,3NcDmdL0R7rNmmfgaI5nN4,203402,2019-07-12,46,0.669,0.745,5,-4.303,0,0.0269,0.0461,0.0,0.251,0.344,99.979
5UhpceEr5XmbVwyoIUIRnh,Hanggang Kailan - Umuwi Ka Na Baby,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,0S0yaR1MiuHfyAZPAtChVc,261866,2005-03-24,63,0.556,0.674,0,-5.563,1,0.0296,0.116,2.19e-06,0.226,0.399,146.433
6moU77g9RQyMzHNuKEaQKq,It's You,4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,40vQONzvJb6sKejDN3eWza,212606,2019-06-14,10,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971
0Vmk6Ebk4QBq7r0VAz2a6s,Bakit Ba Ikaw,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,2fI8PsKYLPMt9Gv4NVrtjk,245586,2016-08-19,64,0.668,0.48,10,-5.469,1,0.0284,0.549,0.0,0.112,0.277,119.903
5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,56oDRnqbIiwx4mymNEv7dS,Lizzo,74gSdSHe71q7urGWMMn3qB,173325,2019-05-03,72,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087
4JSDhJVmo2UqdF7nxbyenn,Kung Wala Ka,6Ww3OMFzCaO33ulKh1LBFN,Hale,4iaCi771IT9I2xwtnXnjlx,242800,2004,63,0.5,0.339,7,-7.301,1,0.0263,0.71,0.00222,0.108,0.152,136.427
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,291357,2005,65,0.558,0.553,4,-6.669,1,0.0323,0.492,0.0,0.116,0.251,134.263
459mgeXCLhqviFmgP2pYOo,Ikaw At Ako (Movie Version),0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,3pCXtuVnbtyAFE9WG5kvIi,237195,2019-07-20,54,0.534,0.486,4,-9.876,1,0.0316,0.666,1.32e-06,0.4,0.369,136.022
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,6hCR3zQtRH0IgookOYt771,180000,2018-08-02,77,0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027
3OpGUlDmRUXh0NkIYWoIlD,Your Song,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,0kV35wyXIJKk04VRG0DdF4,168493,2003,67,0.636,0.159,11,-13.117,1,0.0549,0.892,0.0,0.112,0.658,119.766
26wLOs3ZuHJa2Ihhx6QIE6,Teeth,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,1zbH0DnpYxaoqTojXNLQb6,204887,2019-08-23,78,0.749,0.461,10,-2.961,0,0.0416,0.0516,6.24e-06,0.0738,0.42,139.02
2FXd6kKCtBIc6UfN1gH1pA,FANCY,7n2Ycct7Beij7Dj7meI4X0,TWICE,4Zy7aEg2i4mlS9DWXgVqve,213885,2019-04-22,62,0.697,0.874,5,-2.15,0,0.045,0.0122,0.0,0.627,0.775,132.022
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,1BfLzaTFI5qKsAAk0Ae6aV,260640,2019-06-28,85,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932
4NmE2ytXI8S2svTRSmEdpO,Small Talk,6jJ0s89eD6GaHleKKya26X,Katy Perry,5FOy9CM3AZs86TIK7fsJTV,161962,2019-08-09,70,0.846,0.631,5,-5.547,1,0.1,0.203,0.0,0.455,0.602,115.999
6wdCelHrPh7UfliNjwRTUv,Leaves,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,5Yl1Bi501CuE72jaVK4e3y,310708,2017-03-31,69,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313
44ADyYoY5liaRa3EOAl4uf,Slide Away,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,0SHGFAL8WZUvpWb5iLPp6E,233654,2019-08-16,78,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2fYhqwDWXjbpjaIJPEfKFw,207320,2019-02-08,84,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966
